Time	Sulfate(C2w)	Time	Sulfate(C2wo)	Time	Nitrate(C2w)	Time	Nitrate(C2wo)	Time	Ammonium(C2w)	Time	Ammonium(C2wo)
32.25861	38.6788	32.50417	11.39392	32.25861	29.77646	32.50417	30.86953	32.25861	19.86534	32.50417	11.76833
32.42528	38.68859	32.67083	11.42672	32.42528	29.79561	32.67083	30.87501	32.42528	19.87668	32.67083	11.77926
32.59194	38.69916	32.8375	11.46146	32.59194	29.81843	32.8375	30.8847	32.59194	19.88874	32.8375	11.79196
32.75861	38.71043	33.00417	11.49809	32.75861	29.84546	33.00417	30.89874	32.75861	19.90206	33.00417	11.80656
32.92528	38.72278	33.17083	11.53667	32.92528	29.8764	33.17083	30.91742	32.92528	19.91646	33.17083	11.823
33.09194	38.73602	33.3375	11.57706	33.09194	29.91137	33.3375	30.9407	33.09194	19.93194	33.3375	11.84134
33.25861	38.74994	33.50417	11.6193	33.25861	29.95062	33.50417	30.9685	33.25861	19.94868	33.50417	11.86164
33.42528	38.76494	33.67083	11.66337	33.42528	29.99372	33.67083	31.00076	33.42528	19.9665	33.67083	11.88376
33.59194	38.78082	33.8375	11.70916	33.59194	30.04084	33.8375	31.03731	33.59194	19.98558	33.8375	11.90774
33.75861	38.79777	34.00417	11.75662	33.75861	30.09207	34.00417	31.07838	33.75861	20.00592	34.00417	11.93353
33.92528	38.81551	34.17083	11.80572	33.92528	30.14708	34.17083	31.12379	33.92528	20.02734	34.17083	11.96111
34.09194	38.83421	34.3375	11.85637	34.09194	30.20599	34.3375	31.17299	34.09194	20.05002	34.3375	11.99031
34.25861	38.8537	34.50417	11.90848	34.25861	30.26801	34.50417	31.22622	34.25861	20.07396	34.50417	12.02123
34.42528	38.87396	34.67083	11.96193	34.42528	30.33368	34.67083	31.28285	34.42528	20.0988	34.67083	12.05363
34.59194	38.89529	34.8375	12.01671	34.59194	30.40252	34.8375	31.34315	34.59194	20.1249	34.8375	12.08743
34.75861	38.91768	35.00417	12.07265	34.75861	30.47427	35.00417	31.40654	34.75861	20.1519	35.00417	12.12266
34.92528	38.94056	35.17083	12.12971	34.92528	30.54844	35.17083	31.47266	34.92528	20.18016	35.17083	12.15913
35.09194	38.96439	35.3375	12.18771	35.09194	30.62541	35.3375	31.5417	35.09194	20.20896	35.3375	12.19671
35.10861	38.96671	35.50417	12.24659	35.10861	30.63328	35.50417	31.61303	35.10861	20.21202	35.50417	12.23536
35.27528	38.93586	35.67083	12.30613	35.27528	37.79489	35.67083	31.68659	35.27528	23.48263	35.67083	12.27498
35.35861	43.44746	35.8375	12.36634	35.35861	38.24458	35.8375	31.76195	35.35861	27.03489	35.8375	12.31537
35.52528	47.36734	36.00417	12.42717	35.52528	38.34114	36.00417	31.8391	35.52528	28.08889	36.00417	12.35657
35.69194	48.31594	36.17083	12.48819	35.69194	38.43726	36.17083	31.91738	35.69194	28.26716	36.17083	12.39828
35.85861	48.91936	36.3375	12.54964	35.85861	38.53629	36.3375	31.99707	35.85861	28.38503	36.3375	12.44058
36.02528	49.40352	36.50417	12.61115	36.02528	38.63779	36.50417	32.07758	36.02528	28.48815	36.50417	12.48327
36.19194	49.83633	36.67083	12.6726	36.19194	38.74135	36.67083	32.15882	36.19194	28.58569	36.67083	12.52624
36.35861	50.24336	36.8375	12.73403	36.35861	38.8467	36.8375	32.24075	36.35861	28.68	36.8375	12.56938
36.52528	50.63539	37.00417	12.79519	36.52528	38.95341	37.00417	32.32261	36.52528	28.7727	37.00417	12.61273
36.64194	50.90334	37.17083	12.85595	36.64194	39.02875	37.17083	32.40472	36.64194	28.83713	37.17083	12.65602
36.80861	51.07821	37.3375	12.91626	36.80861	37.82058	37.3375	32.48689	36.80861	27.58896	37.3375	12.69924
36.89194	51.08066	37.50417	12.97598	36.89194	36.30593	37.50417	32.56875	36.89194	27.15012	37.50417	12.74226
