TIME	Aqua: aO=C([O-])C(O)[O] + aO2 -> aO=C(O)C(=O)[O-] + aHO2	Aqua: aO=C(O)C(O)[O] + aO2 -> aO=C(O)C(=O)O + aHO2	other sources	Aqua: FEC2O42m -> FEpp + aO=C([O-])C(=O)[O-] + aCO2 + aO	Aqua: FEC2O43mmm -> FEpp + aO=C([O-])C(=O)[O-] + aCO2 +	Aqua: aO=C(O)C(=O)[O-] + aNO3 -> aO=C([O-])C(=O)[O] + NO	Aqua: aNO3 + aO=C([O-])C(=O)[O-] -> NO3m + aO=C([O-])C(=	other sinks
31.3611	6.46607E-16	3.1392E-15	1.20406E-15	-2.67352E-16	-2.44506E-16	-1.66905E-15	-6.78391E-17	-7.43833E-16
31.5278	6.91674E-16	3.29214E-15	1.2852E-15	-2.64194E-16	-2.29665E-16	-1.62223E-15	-6.63599E-17	-8.18955E-16
31.6944	7.39621E-16	3.4618E-15	1.37352E-15	-2.64114E-16	-2.19424E-16	-1.58277E-15	-6.51407E-17	-8.98298E-16
31.8611	7.89957E-16	3.64494E-15	1.46829E-15	-2.66544E-16	-2.12624E-16	-1.54941E-15	-6.41367E-17	-9.81713E-16
32.0278	8.42238E-16	3.83875E-15	1.5689E-15	-2.71069E-16	-2.08474E-16	-1.52115E-15	-6.33127E-17	-1.06905E-15
32.1944	8.96059E-16	4.04083E-15	1.67483E-15	-2.77384E-16	-2.06417E-16	-1.49721E-15	-6.26412E-17	-1.16016E-15
32.3611	9.51044E-16	4.2491E-15	1.78553E-15	-2.85247E-16	-2.06054E-16	-1.47695E-15	-6.20998E-17	-1.25481E-15
32.5278	1.00685E-15	4.46158E-15	1.90105E-15	-2.94477E-16	-2.07091E-16	-1.45992E-15	-6.16711E-17	-1.35304E-15
32.6944	1.06316E-15	4.67672E-15	2.02069E-15	-3.0492E-16	-2.09311E-16	-1.44563E-15	-6.13403E-17	-1.45448E-15
32.8611	1.11969E-15	4.89303E-15	2.14434E-15	-3.16457E-16	-2.12552E-16	-1.43377E-15	-6.10957E-17	-1.55902E-15
33.0278	1.17615E-15	5.10916E-15	2.27182E-15	-3.28985E-16	-2.16688E-16	-1.42406E-15	-6.09277E-17	-1.66643E-15
33.1944	1.23232E-15	5.32396E-15	2.40293E-15	-3.42417E-16	-2.21626E-16	-1.41625E-15	-6.08283E-17	-1.77655E-15
33.3611	1.28795E-15	5.53635E-15	2.53753E-15	-3.56672E-16	-2.27294E-16	-1.41015E-15	-6.07911E-17	-1.88916E-15
33.5278	1.34286E-15	5.7454E-15	2.67551E-15	-3.71681E-16	-2.33633E-16	-1.40558E-15	-6.08107E-17	-2.00404E-15
33.6944	1.39686E-15	5.95028E-15	2.81677E-15	-3.87378E-16	-2.406E-16	-1.40242E-15	-6.0883E-17	-2.12095E-15
33.8611	1.44978E-15	6.15022E-15	2.96121E-15	-4.03697E-16	-2.48161E-16	-1.40053E-15	-6.10045E-17	-2.23965E-15
34.0278	1.50148E-15	6.34457E-15	3.10874E-15	-4.20578E-16	-2.56288E-16	-1.39983E-15	-6.11725E-17	-2.35989E-15
34.1944	1.55183E-15	6.53269E-15	3.25926E-15	-4.37952E-16	-2.64959E-16	-1.40023E-15	-6.13848E-17	-2.48139E-15
34.3611	1.60072E-15	6.71407E-15	3.41265E-15	-4.55758E-16	-2.74157E-16	-1.40166E-15	-6.164E-17	-2.60387E-15
34.5278	1.64803E-15	6.88821E-15	3.56879E-15	-4.73929E-16	-2.83866E-16	-1.40407E-15	-6.1937E-17	-2.727E-15
34.6944	1.69367E-15	7.05466E-15	3.72751E-15	-4.92394E-16	-2.94075E-16	-1.40741E-15	-6.22753E-17	-2.85048E-15
34.8611	1.73755E-15	7.21302E-15	3.88861E-15	-5.11081E-16	-3.04773E-16	-1.41166E-15	-6.26544E-17	-2.97395E-15
35.0278	1.77958E-15	7.3629E-15	4.05183E-15	-5.29916E-16	-3.15952E-16	-1.41678E-15	-6.30747E-17	-3.09704E-15
35.0833	1.79587E-15	7.42038E-15	4.11765E-15	-5.37472E-16	-3.20556E-16	-1.41907E-15	-6.32544E-17	-3.14608E-15
35.25	4.00333E-15	1.6967E-14	8.44343E-15	-3.31167E-15	-5.64576E-16	-2.08071E-15	-1.0911E-16	-4.89331E-15
35.3333	8.45144E-14	2.63009E-16	2.07011E-14	-8.41391E-14	-1.71217E-15	-1.02589E-16	-8.36689E-15	-3.81496E-14
35.5	1.27733E-13	2.65214E-15	1.58367E-14	-2.8306E-13	-3.87989E-15	-6.90891E-16	-8.20092E-15	-4.69545E-15
35.6667	1.26135E-13	5.28959E-15	1.38975E-14	-1.70598E-13	-1.61125E-15	-1.12217E-15	-6.49841E-15	-4.38003E-15
35.8333	1.27614E-13	7.78294E-15	1.38488E-14	-1.3802E-13	-1.07094E-15	-1.39765E-15	-5.54073E-15	-4.58238E-15
36	1.29311E-13	1.03635E-14	1.4567E-14	-1.22416E-13	-8.26126E-16	-1.63054E-15	-4.90781E-15	-4.85979E-15
36.1667	1.30294E-13	1.31032E-14	1.56148E-14	-1.1317E-13	-6.82943E-16	-1.85346E-15	-4.43932E-15	-5.18094E-15
36.3333	1.30445E-13	1.59388E-14	1.6814E-14	-1.07354E-13	-5.90857E-16	-2.07239E-15	-4.08123E-15	-5.52515E-15
36.5	1.29876E-13	1.87793E-14	1.80837E-14	-1.03747E-13	-5.29505E-16	-2.28834E-15	-3.80541E-15	-5.87701E-15
36.6389	1.29127E-13	2.07271E-14	1.89871E-14	-1.02158E-13	-4.98853E-16	-2.43788E-15	-3.65045E-15	-6.12152E-15
36.8056	3.95797E-15	8.49578E-15	6.67438E-15	-5.45607E-16	-3.39582E-16	-1.45784E-15	-1.37014E-16	-1.42973E-15
36.8889	3.9868E-15	7.49829E-15	5.4527E-15	-3.2556E-16	-3.32776E-16	-1.35934E-15	-1.33963E-16	-1.5208E-15
37.0556	3.24986E-15	8.05554E-15	5.42905E-15	-3.79081E-16	-2.9894E-16	-1.40298E-15	-1.05506E-16	-1.6225E-15
37.2222	2.73155E-15	8.3669E-15	5.47669E-15	-4.29769E-16	-2.77481E-16	-1.41486E-15	-8.63538E-17	-1.6725E-15
37.3889	2.38216E-15	8.56795E-15	5.56167E-15	-4.64398E-16	-2.57636E-16	-1.42116E-15	-7.40049E-17	-1.71367E-15
37.5556	2.14105E-15	8.7021E-15	5.66257E-15	-4.92184E-16	-2.43663E-16	-1.42633E-15	-6.57392E-17	-1.75168E-15
37.7222	1.9716E-15	8.7899E-15	5.76724E-15	-5.19627E-16	-2.36778E-16	-1.43276E-15	-6.01829E-17	-1.78888E-15
37.8889	1.85091E-15	8.84294E-15	5.86821E-15	-5.49275E-16	-2.36358E-16	-1.44183E-15	-5.64754E-17	-1.82587E-15
38.0556	1.76388E-15	8.86771E-15	5.96065E-15	-5.80889E-16	-2.4109E-16	-1.45421E-15	-5.4083E-17	-1.86234E-15
38.2222	1.70013E-15	8.86754E-15	6.04106E-15	-6.13051E-16	-2.49661E-16	-1.47017E-15	-5.26551E-17	-1.89749E-15
38.3889	1.65234E-15	8.84414E-15	6.10687E-15	-6.44276E-16	-2.61028E-16	-1.48973E-15	-5.19524E-17	-1.93033E-15
38.5556	1.61525E-15	8.79836E-15	6.15624E-15	-6.73467E-16	-2.74471E-16	-1.51281E-15	-5.18086E-17	-1.95986E-15
38.7222	1.58504E-15	8.73071E-15	6.18787E-15	-6.99971E-16	-2.8952E-16	-1.53929E-15	-5.21063E-17	-1.98518E-15
38.8889	1.55893E-15	8.64167E-15	6.20097E-15	-7.23478E-16	-3.05891E-16	-1.56907E-15	-5.27627E-17	-2.00548E-15
39.0556	1.53488E-15	8.53178E-15	6.19502E-15	-7.43902E-16	-3.23421E-16	-1.60212E-15	-5.372E-17	-2.02009E-15
39.2222	1.51142E-15	8.40173E-15	6.16981E-15	-7.61268E-16	-3.42031E-16	-1.63846E-15	-5.49391E-17	-2.02847E-15
39.3889	1.48749E-15	8.25242E-15	6.12541E-15	-7.75672E-16	-3.61702E-16	-1.67823E-15	-5.63953E-17	-2.03021E-15
