TIME	Aqua: aO=C(O)CC(O)(O)O[O] -> aO=C(O)CC(=O)O + aHO2	Aqua: aO=C(O)CC(O)[O] + aO2 -> aO=C(O)CC(=O)O + aHO2	Aqua: aO=C(O)CC(=O)O[O] -> aO=C(O)CC(=O)O + aHO2 + [aH2O	Aqua: aO=C([O-])CC(O)(O)O[O] -> aO=C(O)CC(=O)[O-] + aHO2	Aqua: aO=C([O-])CC(O)[O] + aO2 -> aO=C(O)CC(=O)[O-] + aH	other sources	Aqua: aO=C(O)CC(=O)[O-] + aHO -> aO=C(O)[C]C(=O)[O-] + a	Aqua: aO=C(O)CC(=O)[O-] + aNO3 -> aO=C(O)[C]C(=O)[O-] +	other sinks
29.6944	5.7424E-17	0	0	4.69814E-19	1.37029E-19	1.37029E-19	0	-5.7424E-17	-4.05144E-17
29.8611	3.84273E-17	2.0869E-17	2.37293E-17	4.79577E-19	1.46361E-19	1.41119E-17	-2.38031E-17	-4.51092E-17	-4.35856E-17
30.0278	4.10888E-17	2.23413E-17	2.09483E-17	5.06929E-19	1.54876E-19	1.42614E-17	-2.68883E-17	-3.99158E-17	-4.80542E-17
30.1944	4.51641E-17	2.45819E-17	1.8963E-17	5.52231E-19	1.69191E-19	1.49242E-17	-3.09207E-17	-3.62066E-17	-5.41356E-17
30.3611	5.02588E-17	2.73769E-17	1.74828E-17	6.10944E-19	1.87614E-19	1.59426E-17	-3.56886E-17	-3.34381E-17	-6.14023E-17
30.5278	5.61041E-17	3.05801E-17	1.63441E-17	6.79874E-19	2.09175E-19	1.72175E-17	-4.10332E-17	-3.13042E-17	-6.95513E-17
30.6944	6.25783E-17	3.41258E-17	1.54486E-17	7.57492E-19	2.33401E-19	1.87002E-17	-4.68907E-17	-2.96204E-17	-7.84534E-17
30.8611	6.96231E-17	3.79825E-17	1.47328E-17	8.43124E-19	2.601E-19	2.03656E-17	-5.32367E-17	-2.82675E-17	-8.80518E-17
31.0278	7.72021E-17	4.21305E-17	1.41535E-17	9.3628E-19	2.89121E-19	2.21981E-17	-6.00576E-17	-2.71648E-17	-9.83126E-17
31.1944	8.52872E-17	4.65545E-17	1.36806E-17	0	0	2.37577E-17	-6.73464E-17	-2.62504E-17	-1.01169E-16
31.3611	9.38541E-17	5.12415E-17	1.32925E-17	1.14393E-18	3.53759E-19	2.63252E-17	-7.50775E-17	-2.54983E-17	-1.20713E-16
31.5278	1.0288E-16	5.61792E-17	1.2973E-17	1.25785E-18	3.89191E-19	2.86065E-17	-8.32512E-17	-2.48629E-17	-1.32801E-16
31.6944	1.12343E-16	6.13556E-17	1.27101E-17	1.37812E-18	4.26615E-19	3.10265E-17	-9.1848E-17	-2.43263E-17	-1.45446E-16
31.8611	1.22222E-16	6.6759E-17	1.24947E-17	1.50448E-18	4.65915E-19	3.35819E-17	-1.00851E-16	-2.38706E-17	-1.5862E-16
32.0278	1.32494E-16	7.23771E-17	1.23197E-17	1.63665E-18	5.07015E-19	3.62697E-17	-1.10242E-16	-2.3482E-17	-1.72294E-16
32.1944	1.43137E-16	7.81979E-17	1.21795E-17	1.77434E-18	5.49826E-19	3.90878E-17	-1.2E-16	-2.31496E-17	-1.86436E-16
32.3611	1.54136E-16	8.42122E-17	1.20606E-17	1.91723E-18	5.94249E-19	4.20088E-17	-1.30116E-16	-2.28473E-17	-2.01013E-16
32.5278	1.65443E-16	9.03967E-17	1.1987E-17	2.06507E-18	6.4021E-19	4.51075E-17	-1.40531E-16	-2.26199E-17	-2.15991E-16
32.6944	1.77059E-16	9.67487E-17	1.19285E-17	2.21749E-18	6.87593E-19	4.83063E-17	-1.51254E-16	-2.24099E-17	-2.31331E-16
32.8611	1.8895E-16	1.03251E-16	1.1892E-17	2.37204E-18	7.33026E-19	5.1631E-17	-1.62249E-16	-2.22298E-17	-2.46998E-16
33.0278	2.01091E-16	1.0989E-16	1.18758E-17	2.53487E-18	7.86242E-19	5.50761E-17	-1.73488E-16	-2.20757E-17	-2.62948E-16
33.1944	2.13456E-16	1.16652E-16	1.18785E-17	2.69916E-18	8.37307E-19	5.86451E-17	-1.84944E-16	-2.19446E-17	-2.79143E-16
33.3611	2.26019E-16	1.23522E-16	1.18988E-17	2.86676E-18	8.89394E-19	6.23354E-17	-1.96588E-16	-2.18337E-17	-2.9554E-16
33.5278	2.38753E-16	1.30485E-16	1.1936E-17	3.03732E-18	9.424E-19	6.61458E-17	-2.08391E-16	-2.1741E-17	-3.12093E-16
