TIME	Aqua: HSO3m + aH2O2 + Hp -> SO4mm + Hp + [aH2O]	Aqua: SO3mm + aO3 -> SO4mm + aO2	Aqua: HSO5m + HSO3m + Hp -> SO4mm + Hp	Aqua: aHNO4 + HSO3m -> HSO4m + Hp + NO3m	Gas: HSO3 -> HO2 + SULF	other sources	other sinks
32.5278	2.26957E-14	1.34077E-20	4.73214E-21	2.93189E-16	1.14823E-13	2.65323E-15	-1.5765E-15
32.6944	2.44079E-14	1.39836E-20	5.17911E-21	3.10147E-16	1.23466E-13	2.55026E-15	-1.58301E-15
32.8611	2.62184E-14	0	0	3.26994E-16	1.3211E-13	2.45552E-15	-1.59222E-15
33.0278	2.81278E-14	1.43886E-20	5.90689E-21	3.43652E-16	1.40705E-13	2.40996E-15	-1.60318E-15
33.1944	3.01368E-14	1.4667E-20	6.28585E-21	3.60034E-16	1.49204E-13	2.36518E-15	-1.61623E-15
33.3611	3.22452E-14	1.47149E-20	6.86697E-21	3.76078E-16	1.57559E-13	2.33343E-15	-1.63091E-15
33.5278	3.44525E-14	1.52283E-20	7.19419E-21	3.91713E-16	1.65725E-13	2.31244E-15	-1.647E-15
33.6944	3.67578E-14	1.54862E-20	7.64607E-21	4.06876E-16	1.73658E-13	2.30035E-15	-1.66431E-15
33.8611	3.91593E-14	1.5972E-20	7.98602E-21	4.21512E-16	1.81317E-13	2.29561E-15	-1.68263E-15
34.0278	4.16549E-14	1.60847E-20	8.61058E-21	4.35557E-16	1.88662E-13	2.29694E-15	-1.70183E-15
34.1944	4.42416E-14	1.61783E-20	9.24476E-21	4.49004E-16	1.95659E-13	2.30327E-15	-1.72171E-15
34.3611	4.69161E-14	1.66566E-20	9.55303E-21	4.6178E-16	2.02276E-13	2.31371E-15	-1.74215E-15
34.5278	4.96743E-14	1.69268E-20	1.0094E-20	4.73906E-16	2.08483E-13	2.3275E-15	-1.76306E-15
34.6944	5.25113E-14	1.72051E-20	1.05962E-20	4.85247E-16	2.14255E-13	2.34403E-15	-1.78418E-15
34.8611	5.54219E-14	1.75531E-20	1.11073E-20	4.95899E-16	2.19569E-13	2.36274E-15	-1.8055E-15
35.0278	5.84E-14	1.78023E-20	1.1626E-20	5.05807E-16	2.24406E-13	2.38319E-15	-1.82688E-15
35.0833	5.96086E-14	1.77517E-20	1.16787E-20	5.09564E-16	2.26204E-13	2.39175E-15	-1.83541E-15
35.25	3.82941E-13	0	0	0	1.9204E-13	2.2275E-16	-8.56952E-16
35.3333	2.00156E-12	3.14023E-12	3.95657E-13	2.53688E-13	2.75814E-14	5.50034E-12	-1.17911E-15
35.5	5.85109E-12	2.77752E-12	3.26189E-14	2.82132E-13	1.89112E-14	7.20365E-13	-2.09754E-15
